question_concept_id,response_concept_id
512820379,486306141
538553381,746038746
538553381,178420302
527823810,178420302
253532712,723775357
253532712,572474909
706256705,654207589
667474224,663706936
667474224,181769837
280021666,647148178
280021666,153365143
280021666,208952854
158291096,104430631
719451909,353358909
211023960,104430631
163534562,353358909
497530905,104430631
771146804,104430631
163284008,353358909
230663853,104430631
956485028,562663942
956485028,307763550
827220437,327912200
827220437,517700004
942255248,353358909
607081902,353358909
829269606,353358909
811353546,711757828
480305327,226924545
919254129,353358909
187894482,353358909
639871686,333275194
639871686,208245330
639871686,799996283
639871686,721835388
639871686,170270174
639871686,131658361
639871686,882964022
639871686,667794074
639871686,326914254
639871686,411693327
639871686,737467433
639871686,392051955
639871686,282684754
639871686,996867481
639871686,778149970
639871686,893352695
639871686,359106014
639871686,865130944
639871686,676601456
639871686,804230076
639871686,737913249
639871686,467388306
639871686,229663661
639871686,483171323
639871686,989841129
639871686,497940213
639871686,706663693
639871686,667042764
639871686,982400065
639871686,691929049
639871686,107649642
639871686,805619774
639871686,858140434
639871686,939019279
639871686,366067357
639871686,835040610
639871686,567219545
837244890,148997103
837244890,299126445
837244890,448617425
837244890,481101742
837244890,450700271
837244890,788910861
837244890,360734594
837244890,535389252
837244890,610145443
837244890,604112428
837244890,407588445
837244890,184997877
837244890,794883510
837244890,872738595
837244890,249259453
837244890,195866199
837244890,402100137
837244890,912770257
837244890,169159988
837244890,142345918
837244890,617654521
837244890,278577307
837244890,502236449
837244890,529971621
837244890,611768724
837244890,166955192
837244890,803323592
837244890,401441319
837244890,499465239
837244890,262256978
837244890,579685918
837244890,527680552
837244890,595309766
837244890,858059214
837244890,139824195
782945615,227078307
782945615,713805786
782945615,441424832
782945615,959888441
782945615,123981879
782945615,303352825
782945615,623546496
782945615,951405762
782945615,436919389
782945615,279607212
782945615,325119560
782945615,656413979
782945615,284446097
782945615,258181066
782945615,707293927
782945615,247861923
782945615,675442806
782945615,435390912
782945615,646575069
782945615,768457546
782945615,360006866
782945615,570293881
782945615,394839071
782945615,787809831
782945615,597023793
782945615,812047427
782945615,216012641
782945615,691987855
782945615,409608997
782945615,212392048
782945615,870960085
782945615,581659944
782945615,386598060
782945615,457186566
782945615,156628245
782945615,535551893
782945615,798542346
306739670,353358909
934567929,227078307
934567929,713805786
934567929,441424832
934567929,959888441
934567929,123981879
934567929,303352825
934567929,623546496
934567929,951405762
934567929,436919389
934567929,279607212
934567929,325119560
934567929,656413979
934567929,284446097
934567929,258181066
934567929,707293927
934567929,247861923
934567929,675442806
934567929,435390912
934567929,646575069
934567929,768457546
934567929,360006866
934567929,570293881
934567929,394839071
934567929,787809831
934567929,597023793
934567929,812047427
934567929,216012641
934567929,691987855
934567929,409608997
934567929,212392048
934567929,870960085
934567929,581659944
934567929,386598060
934567929,457186566
934567929,156628245
934567929,535551893
934567929,798542346
444699761,734437214
188797763,353358909
793822265,854903954
711794630,219803804
650516960,534621077
592099155,664882224
883732523,681745422
883732523,745205161
912088602,353358909
635875253,104430631
242307474,353358909
550088682,104430631
762124027,104430631
135591601,353358909
951355211,777644826
951355211,692275326
951355211,691714762
951355211,467088902
951355211,574368418
951355211,255636184
951355211,864987193
678857215,353358909
728696253,353358909
534041351,353358909
693370086,353358909
316824786,104430631
547363263,972455046
320303124,231311385
956490759,972455046
176068627,615768760
560975149,570271641
560975149,838480167
560975149,489380324
560975149,807443231
560975149,475614532
560975149,471260082
560975149,528017143
938338155,353358909
309189173,353358909
992420392,104430631
541085383,353358909
221592017,277438316
311580100,104430631
914639140,353358909
949302066,972455046
100767870,353358909
254109640,353358909
130371375,650465111
101170406,353358909
603278289,745366882
603278289,786757575
175506524,745366882
175506524,786757575
299274441,847056701
592227431,911299066
592227431,233284019
857217152,104430631
726389747,104430631
153713899,104430631
431428747,104430631
639172801,353358909
777719027,353358909
958588520,353358909
451953807,353358909
912301837,458508122
912301837,872012139
853876696,104430631
922995819,353358909
399948893,104430631
954880590,104430631
932866744,353358909
283900611,104430631
121149986,353358909
289322354,353358909
265193023,615768760
525972260,353358909
149205077,482225200
149205077,295976386
149205077,248374037
114227122,646675764
689827049,227782304
446235715,469323437
583826374,353358909
458435048,353358909
412790539,104430631
807835037,353358909
746038746,104430631
571633051,104430631
280957170,104430631
618222258,104430631
900838463,104430631
304643362,104430631
151821009,353358909
412757551,353358909
680575651,104430631
144320785,353358909
819018322,353358909
786290435,104430631
167028305,353358909
345861266,353358909
267472307,353358909
704661219,353358909
533527231,104430631
434651539,353358909
289664241,218837028
289664241,405267600
987107433,915528806
987107433,746038746
323177352,104430631
769790179,104430631
700811160,353358909
619337095,104430631
427219143,353358909
691766591,353358909
731115613,353358909
285995100,353358909
167238688,104430631
239687183,353358909
134592375,104430631
436689514,104430631
901077233,104430631
937208760,353358909
746542057,104430631
854945381,353358909
134642404,104430631
797189152,353358909
633546100,104430631
413734739,104430631
220755749,104430631
654450030,104430631
733236542,104430631
961987554,104430631
752953170,104430631
107060069,524029283
323512813,104430631
952682839,548628123
820324171,902131456
194396716,353358909
808806810,353358909
448594163,104430631
183572295,104430631
245893583,104430631
206319592,915557297
206319592,173625583
567365088,104430631
283634623,353358909
276353712,353358909
276353712,178420302
518416174,104430631
283025574,353358909
863246236,353358909
607793249,104430631
532172400,353358909
754745617,353358909
990319383,353358909
482225200,353358909
764891959,104430631
579563781,654207589
579563781,576796184
589588769,198654048
887697329,536341288
367803647,432193665
367803647,598242454
411992398,807835037
149230791,353358909
133362151,353358909
924908599,353358909
868510850,353358909
842657297,709969190
422188606,353358909
555555502,104430631
221645137,104430631
974248369,104430631
814141708,484055234
292658699,484055234
861824298,802197176
761822652,317567178
191656389,353358909
480724806,104430631
225047594,317567178
991873978,317567178
129284742,310201523
129284742,807835037
465635548,802197176
846978339,802197176
798889867,104430631
164595895,471375042
164595895,178420302
614145455,330745988
614145455,351584248
384247618,582425113
849945160,104430631
424047361,104430631
342735868,104430631
990599372,353358909
642004888,104430631
612012325,353358909
207913198,353358909
863920008,104430631
958009220,104430631
484006644,104430631
246843973,353358909
515434780,104430631
453820991,353358909
563663099,481217808
563663099,647504893
949663397,565450397
837393880,104430631
912818075,565450397
111235606,104430631
158214723,104430631
699101535,464753847
699101535,638092100
652561589,258023209
652561589,755558825
652561589,201002865
589522790,949555271
239572239,729681071
239572239,919739344
654385712,628177728
263483736,464753847
263483736,638092100
396649512,729681071
396649512,919739344
980196073,648960871
115422925,996315715
115422925,647504893
491484323,428999623
491484323,206020811
491484323,264163865
797221287,104430631
500744195,104430631
152773041,353358909
992022740,645894551
992022740,671267928
429531329,638092100
888313306,645894551
888313306,671267928
267261558,628177728
267261558,805918496
904954920,104430631
619501806,104430631
261267696,353358909
926584500,353358909
734860227,104430631
901660173,428999623
901660173,206020811
901660173,264163865
953510929,239152340
953510929,582006876
422260069,248303092
141251197,428999623
141251197,206020811
141251197,264163865
184448791,996315715
184448791,647504893
768302347,628177728
768302347,805918496
944699052,645894551
944699052,671267928
658018390,638092100
406846149,628177728
406846149,805918496
571361258,628177728
571361258,805918496
904844824,638092100
650405110,638092100
831643763,638092100
981509686,239152340
981509686,582006876
921220809,628177728
921220809,805918496
305312165,248303092
168431681,349122068
168431681,278139969
820694957,353358909
453071098,525779785
513065503,565036180
257137378,104430631
257137378,270994579
186488870,774439579
186488870,747099514
922388461,774439579
922388461,747099514
760686611,514068832
406137786,178420302
370923702,353358909
531811052,353358909
417201414,104430631
680730257,719954633
763164658,805449318
763164658,132232896
667002790,127455035
238422161,802197176
656911826,998679771
656911826,638092100
208578552,402752509
789271762,317567178
785139115,353358909
394049992,248303092
673842048,104430631
495592561,428999623
705282587,998679771
705282587,638092100
628770824,971933131
558707243,998679771
558707243,638092100
995220236,248303092
551301510,998679771
551301510,638092100
981755099,805449318
981755099,132232896
472007171,299561721
356470028,998679771
356470028,638092100
471435289,998679771
471435289,638092100
584608368,118191655
370253256,248303092
458395129,716761013
845122623,484055234
337810964,417208949
337810964,865134801
337810964,648960871
334292580,174968750
976863738,797736697
976863738,480609810
976863738,485011582
392301875,667010122
576358766,797736697
576358766,480609810
576358766,485011582
767711152,667010122
509170471,162693263
359443374,668407984
257564920,503218834
670036093,448069154
106272739,668407984
349034127,104430631
